date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:33:35	892/892	---M--	200	added ('OK')	image/png	etag:%225aa3dc1efbd9bcdbff987cd45e120ee0-ssl%22	https://cryptooapp.netlify.app/temp/img/content/icons/6.png	C:/Users/AFSB%20-%20USER/Desktop/prototype/crypto/cryptooapp.netlify.app/temp/img/content/icons/6.png	(from https://cryptooapp.netlify.app/temp/index.html)
16:33:36	15111/15111	---MCZ	200	added ('OK')	text/html	etag:%22747ccd276a3cde06c75fdfd49665570e-ssl-df%22	https://cryptooapp.netlify.app/temp/profile.html	C:/Users/AFSB%20-%20USER/Desktop/prototype/crypto/cryptooapp.netlify.app/temp/profile.html	(from https://cryptooapp.netlify.app/temp/index.html)
16:33:36	1641/1641	---M--	200	added ('OK')	image/png	etag:%22da516503d71df97dc174d9f6c0855bb7-ssl%22	https://cryptooapp.netlify.app/temp/img/content/icons/5.png	C:/Users/AFSB%20-%20USER/Desktop/prototype/crypto/cryptooapp.netlify.app/temp/img/content/icons/5.png	(from https://cryptooapp.netlify.app/temp/index.html)
16:33:38	22027/22027	---MCZ	200	added ('OK')	text/html	etag:%2227ec51fa8feef4569977975445869ea8-ssl-df%22	https://cryptooapp.netlify.app/temp/affiliate.html	C:/Users/AFSB%20-%20USER/Desktop/prototype/crypto/cryptooapp.netlify.app/temp/affiliate.html	(from https://cryptooapp.netlify.app/temp/index.html)
16:33:38	1228/1228	---M--	200	added ('OK')	image/png	etag:%22bfeb065cb61560cd8e16308bc9cd7141-ssl%22	https://cryptooapp.netlify.app/temp/img/content/icons/4.png	C:/Users/AFSB%20-%20USER/Desktop/prototype/crypto/cryptooapp.netlify.app/temp/img/content/icons/4.png	(from https://cryptooapp.netlify.app/temp/index.html)
16:33:39	13831/13831	---MCZ	200	added ('OK')	text/html	etag:%22fa82e38c89e338653decfd5267221454-ssl-df%22	https://cryptooapp.netlify.app/temp/setting.html	C:/Users/AFSB%20-%20USER/Desktop/prototype/crypto/cryptooapp.netlify.app/temp/setting.html	(from https://cryptooapp.netlify.app/temp/index.html)
16:33:40	1607/1607	---M--	200	added ('OK')	image/png	etag:%22877d71222ddc2e091b1daf004ebd9423-ssl%22	https://cryptooapp.netlify.app/temp/img/content/icons/11.png	C:/Users/AFSB%20-%20USER/Desktop/prototype/crypto/cryptooapp.netlify.app/temp/img/content/icons/11.png	(from https://cryptooapp.netlify.app/temp/index.html)
16:33:40	1019/1019	---M--	200	added ('OK')	image/png	etag:%226edc371a86f48a7b3dc191bc30e01dc0-ssl%22	https://cryptooapp.netlify.app/temp/img/content/icons/9.png	C:/Users/AFSB%20-%20USER/Desktop/prototype/crypto/cryptooapp.netlify.app/temp/img/content/icons/9.png	(from https://cryptooapp.netlify.app/temp/index.html)
16:33:41	7133/7133	---MCZ	200	added ('OK')	text/html	etag:%2212d15808e199954366bc02929e38ec08-ssl-df%22	https://cryptooapp.netlify.app/temp/login.html	C:/Users/AFSB%20-%20USER/Desktop/prototype/crypto/cryptooapp.netlify.app/temp/login.html	(from https://cryptooapp.netlify.app/temp/index.html)
16:33:42	7483/7483	---MCZ	200	added ('OK')	text/html	etag:%22ad06aca975baf8ef724c246dde8f2836-ssl-df%22	https://cryptooapp.netlify.app/temp/signup.html	C:/Users/AFSB%20-%20USER/Desktop/prototype/crypto/cryptooapp.netlify.app/temp/signup.html	(from https://cryptooapp.netlify.app/temp/index.html)
