date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:41:59	27275/27275	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Mar%202021%2018:31:30%20GMT	https://designing-world.com/affan-1.1.0/page-home.html	C:/Users/AFSB%20-%20USER/Desktop/prototype/affan/designing-world.com/affan-1.1.0/page-home.html	(from https://designing-world.com/affan-1.1.0/page-home.html?)
16:41:59	4727/4727	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Aug%202020%2001:36:58%20GMT	https://designing-world.com/affan-1.1.0/img/core-img/logo.png	C:/Users/AFSB%20-%20USER/Desktop/prototype/affan/designing-world.com/affan-1.1.0/img/core-img/logo.png	(from https://designing-world.com/affan-1.1.0/page-home.html?)
16:42:00	34899/34899	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Mar%202021%2018:31:28%20GMT	https://designing-world.com/affan-1.1.0/elements.html	C:/Users/AFSB%20-%20USER/Desktop/prototype/affan/designing-world.com/affan-1.1.0/elements.html	(from https://designing-world.com/affan-1.1.0/page-home.html?)
16:42:00	49345/49345	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20Dec%202020%2004:50:52%20GMT	https://designing-world.com/affan-1.1.0/img/bg-img/2.jpg	C:/Users/AFSB%20-%20USER/Desktop/prototype/affan/designing-world.com/affan-1.1.0/img/bg-img/2.jpg	(from https://designing-world.com/affan-1.1.0/page-home.html?)
16:42:01	57494/57494	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Mar%202021%2018:31:30%20GMT	https://designing-world.com/affan-1.1.0/pages.html	C:/Users/AFSB%20-%20USER/Desktop/prototype/affan/designing-world.com/affan-1.1.0/pages.html	(from https://designing-world.com/affan-1.1.0/page-home.html?)
16:42:01	25179/25179	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Mar%202021%2018:31:30%20GMT	https://designing-world.com/affan-1.1.0/page-shop-grid.html	C:/Users/AFSB%20-%20USER/Desktop/prototype/affan/designing-world.com/affan-1.1.0/page-shop-grid.html	(from https://designing-world.com/affan-1.1.0/page-home.html?)
16:42:01	26677/26677	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Mar%202021%2018:31:30%20GMT	https://designing-world.com/affan-1.1.0/page-shop-list.html	C:/Users/AFSB%20-%20USER/Desktop/prototype/affan/designing-world.com/affan-1.1.0/page-shop-list.html	(from https://designing-world.com/affan-1.1.0/page-home.html?)
16:42:01	25029/25029	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Mar%202021%2018:31:30%20GMT	https://designing-world.com/affan-1.1.0/page-shop-details.html	C:/Users/AFSB%20-%20USER/Desktop/prototype/affan/designing-world.com/affan-1.1.0/page-shop-details.html	(from https://designing-world.com/affan-1.1.0/page-home.html?)
16:42:02	21050/21050	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Mar%202021%2018:31:28%20GMT	https://designing-world.com/affan-1.1.0/page-cart.html	C:/Users/AFSB%20-%20USER/Desktop/prototype/affan/designing-world.com/affan-1.1.0/page-cart.html	(from https://designing-world.com/affan-1.1.0/page-home.html?)
16:42:02	21413/21413	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Mar%202021%2018:31:28%20GMT	https://designing-world.com/affan-1.1.0/page-checkout.html	C:/Users/AFSB%20-%20USER/Desktop/prototype/affan/designing-world.com/affan-1.1.0/page-checkout.html	(from https://designing-world.com/affan-1.1.0/page-home.html?)
16:42:02	15029/15029	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Mar%202021%2018:31:30%20GMT	https://designing-world.com/affan-1.1.0/settings.html	C:/Users/AFSB%20-%20USER/Desktop/prototype/affan/designing-world.com/affan-1.1.0/settings.html	(from https://designing-world.com/affan-1.1.0/page-home.html?)
16:42:02	5234/5234	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Mar%202021%2018:31:30%20GMT	https://designing-world.com/affan-1.1.0/page-login.html	C:/Users/AFSB%20-%20USER/Desktop/prototype/affan/designing-world.com/affan-1.1.0/page-login.html	(from https://designing-world.com/affan-1.1.0/page-home.html?)
16:42:03	266645/266645	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20Dec%202020%2005:10:26%20GMT	https://designing-world.com/affan-1.1.0/img/bg-img/31.jpg	C:/Users/AFSB%20-%20USER/Desktop/prototype/affan/designing-world.com/affan-1.1.0/img/bg-img/31.jpg	(from https://designing-world.com/affan-1.1.0/page-home.html?)
16:42:04	301392/301392	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20Dec%202020%2005:10:46%20GMT	https://designing-world.com/affan-1.1.0/img/bg-img/33.jpg	C:/Users/AFSB%20-%20USER/Desktop/prototype/affan/designing-world.com/affan-1.1.0/img/bg-img/33.jpg	(from https://designing-world.com/affan-1.1.0/page-home.html?)
16:42:04	389093/389093	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20Dec%202020%2005:10:32%20GMT	https://designing-world.com/affan-1.1.0/img/bg-img/32.jpg	C:/Users/AFSB%20-%20USER/Desktop/prototype/affan/designing-world.com/affan-1.1.0/img/bg-img/32.jpg	(from https://designing-world.com/affan-1.1.0/page-home.html?)
16:42:04	5245/5245	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Dec%202020%2002:39:34%20GMT	https://designing-world.com/affan-1.1.0/img/demo-img/bootstrap.png	C:/Users/AFSB%20-%20USER/Desktop/prototype/affan/designing-world.com/affan-1.1.0/img/demo-img/bootstrap.png	(from https://designing-world.com/affan-1.1.0/page-home.html?)
16:42:05	10471/10471	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Dec%202020%2002:43:30%20GMT	https://designing-world.com/affan-1.1.0/img/demo-img/pwa.png	C:/Users/AFSB%20-%20USER/Desktop/prototype/affan/designing-world.com/affan-1.1.0/img/demo-img/pwa.png	(from https://designing-world.com/affan-1.1.0/page-home.html?)
16:42:05	173476/173476	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20Dec%202020%2004:50:48%20GMT	https://designing-world.com/affan-1.1.0/img/bg-img/1.jpg	C:/Users/AFSB%20-%20USER/Desktop/prototype/affan/designing-world.com/affan-1.1.0/img/bg-img/1.jpg	(from https://designing-world.com/affan-1.1.0/page-home.html?)
16:42:05	2986/2986	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Dec%202020%2002:43:50%20GMT	https://designing-world.com/affan-1.1.0/img/demo-img/sass.png	C:/Users/AFSB%20-%20USER/Desktop/prototype/affan/designing-world.com/affan-1.1.0/img/demo-img/sass.png	(from https://designing-world.com/affan-1.1.0/page-home.html?)
16:42:05	8443/8443	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Dec%202020%2002:43:16%20GMT	https://designing-world.com/affan-1.1.0/img/demo-img/pug.png	C:/Users/AFSB%20-%20USER/Desktop/prototype/affan/designing-world.com/affan-1.1.0/img/demo-img/pug.png	(from https://designing-world.com/affan-1.1.0/page-home.html?)
16:42:05	2511/2511	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Dec%202020%2002:43:00%20GMT	https://designing-world.com/affan-1.1.0/img/demo-img/npm.png	C:/Users/AFSB%20-%20USER/Desktop/prototype/affan/designing-world.com/affan-1.1.0/img/demo-img/npm.png	(from https://designing-world.com/affan-1.1.0/page-home.html?)
16:42:06	2727/2727	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Dec%202020%2002:40:36%20GMT	https://designing-world.com/affan-1.1.0/img/demo-img/gulp.png	C:/Users/AFSB%20-%20USER/Desktop/prototype/affan/designing-world.com/affan-1.1.0/img/demo-img/gulp.png	(from https://designing-world.com/affan-1.1.0/page-home.html?)
16:42:06	31346/31346	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Mar%202021%2018:31:28%20GMT	https://designing-world.com/affan-1.1.0/page-chat-users.html	C:/Users/AFSB%20-%20USER/Desktop/prototype/affan/designing-world.com/affan-1.1.0/page-chat-users.html	(from https://designing-world.com/affan-1.1.0/page-home.html?)
16:42:06	80217/80217	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2013%20Mar%202021%2017:57:34%20GMT	https://designing-world.com/affan-1.1.0/js/bootstrap.bundle.min.js	C:/Users/AFSB%20-%20USER/Desktop/prototype/affan/designing-world.com/affan-1.1.0/js/bootstrap.bundle.min.js	(from https://designing-world.com/affan-1.1.0/page-home.html?)
16:42:07	85578/85578	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2013%20Mar%202021%2017:57:34%20GMT	https://designing-world.com/affan-1.1.0/js/jquery.min.js	C:/Users/AFSB%20-%20USER/Desktop/prototype/affan/designing-world.com/affan-1.1.0/js/jquery.min.js	(from https://designing-world.com/affan-1.1.0/page-home.html?)
16:42:07	1349/1349	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2006%20Dec%202020%2008:10:40%20GMT	https://designing-world.com/affan-1.1.0/js/default/internet-status.js	C:/Users/AFSB%20-%20USER/Desktop/prototype/affan/designing-world.com/affan-1.1.0/js/default/internet-status.js	(from https://designing-world.com/affan-1.1.0/page-home.html?)
16:42:07	8044/8044	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2013%20Mar%202021%2017:57:34%20GMT	https://designing-world.com/affan-1.1.0/js/waypoints.min.js	C:/Users/AFSB%20-%20USER/Desktop/prototype/affan/designing-world.com/affan-1.1.0/js/waypoints.min.js	(from https://designing-world.com/affan-1.1.0/page-home.html?)
16:42:07	2532/2532	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2013%20Mar%202021%2017:57:34%20GMT	https://designing-world.com/affan-1.1.0/js/jquery.easing.min.js	C:/Users/AFSB%20-%20USER/Desktop/prototype/affan/designing-world.com/affan-1.1.0/js/jquery.easing.min.js	(from https://designing-world.com/affan-1.1.0/page-home.html?)
16:42:07	8415/8415	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2013%20Mar%202021%2017:57:34%20GMT	https://designing-world.com/affan-1.1.0/js/wow.min.js	C:/Users/AFSB%20-%20USER/Desktop/prototype/affan/designing-world.com/affan-1.1.0/js/wow.min.js	(from https://designing-world.com/affan-1.1.0/page-home.html?)
16:42:08	42743/42743	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2013%20Mar%202021%2017:57:34%20GMT	https://designing-world.com/affan-1.1.0/js/owl.carousel.min.js	C:/Users/AFSB%20-%20USER/Desktop/prototype/affan/designing-world.com/affan-1.1.0/js/owl.carousel.min.js	(from https://designing-world.com/affan-1.1.0/page-home.html?)
16:42:08	1067/1067	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2013%20Mar%202021%2017:57:34%20GMT	https://designing-world.com/affan-1.1.0/js/jquery.counterup.min.js	C:/Users/AFSB%20-%20USER/Desktop/prototype/affan/designing-world.com/affan-1.1.0/js/jquery.counterup.min.js	(from https://designing-world.com/affan-1.1.0/page-home.html?)
